TEAM,OWNERS,ABBREVIATION,RECORD,WEEK 1,WEEK 1,WEEK 1,WEEK 1,WEEK 1,WEEK 2,WEEK 2,WEEK 2,WEEK 2,WEEK 2,WEEK 3,WEEK 3,WEEK 3,WEEK 3,WEEK 3,PF,PA,TEAM PPF,AVG BALL
Hoosier Hurlers,(Chelsea),CHE,0-1,160,150,190,210,130,,,,,,,,,,,,,,
Minnesota Mini-Muffins,(Blake),MIN,1-0,180,250,270,260,290,,,,,,,,,,,,,,
Schenectady Skeezballs,(Nicole),SKZ,0-1,160,120,260,140,270,,,,,,,,,,,,,,
Eoban's Untitled,(Eoban),EOB,1-0,200,230,190,210,220,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
GAME 1,,,,GAME 2,,,GAME 3,,,TITLE GAME,,,,,,,,,,,,
CHE v. MIN,CHE,MIN,,CHE v. SKZ,CHE,SKZ,CHE v. EOB,CHE,EOB,,,,,,,,,,,,,
FRAME 1,160,180,,FRAME 1,,,FRAME 1,,,FRAME 1,,,,,,,,,,,,
FRAME 2,150,250,,FRAME 2,,,FRAME 2,,,FRAME 2,,,,,,,,,,,,
FRAME 3,190,270,,FRAME 3,,,FRAME 3,,,FRAME 3,,,,,,,,,,,,
FRAME 4,210,260,,FRAME 4,,,FRAME 4,,,FRAME 4,,,,,,,,,,,,
FRAME 5,130,290,,FRAME 5,,,FRAME 5,,,FRAME 5,,,,,,,,,,,,
TOTAL,840,1250,,TOTAL,,,TOTAL,,,TOTAL,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
SKZ v. EOB,SKZ,EOB,,EOB v. MIN,EOB,MIN,SKZ v. MIN,SKZ,MIN,,,,,,,,,,,,,
FRAME 1,160,200,,FRAME 1,,,FRAME 1,,,,,,,,,,,,,,,
FRAME 2,120,230,,FRAME 2,,,FRAME 2,,,,,,,,,,,,,,,
FRAME 3,260,190,,FRAME 3,,,FRAME 3,,,,,,,,,,,,,,,
FRAME 4,140,210,,FRAME 4,,,FRAME 4,,,,,,,,,,,,,,,
FRAME 5,270,220,,FRAME 5,,,FRAME 5,,,,,,,,,,,,,,,
TOTAL,950,1050,,TOTAL,,,TOTAL,,,,,,,,,,,,,,,
