PLAYER,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,PLAYER,TOTAL,BEST,300+ GAMES,400+ GAMES,ACTUAL,CAREER AVG,H/L,CAREER BEST,FRAMES,HDCP,TICKETS,PLAYER
Ron,220,270,320,250,240,310,270,250,220,370,280,320,310,460,300,270,290,370,300,270,190,380,280,280,200,270,310,280,320,380,Ron,8780,398,13,1,293,261,290,340,30,-23,2355,Ron
Jessika,270,150,200,190,200,240,310,210,250,270,260,260,260,260,240,270,290,250,240,270,230,200,240,210,280,290,290,230,190,250,Jessika,7300,295,1,0,243,227,244,264,30,27,1835,Jessika
Nicholas,280,250,290,320,340,300,350,380,290,320,280,320,400,310,240,210,200,180,370,260,270,230,300,260,240,260,230,250,260,230,Nicholas,8420,375,11,1,281,254,280,330,30,-11,2245,Nicholas
Nicole,180,190,210,250,250,260,220,260,190,200,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Nicole,2210,255,0,0,221,249,221,263,10,49,553,Nicole
Pat,310,240,230,230,250,150,220,250,290,230,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Pat,2400,275,1,0,240,204,243,262,10,30,610,Pat
Bryan,220,220,250,250,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Bryan,940,235,0,0,235,219,235,259,4,35,235,Bryan
Joe,270,270,250,180,260,220,360,220,130,230,240,220,240,320,260,290,240,300,310,260,240,260,240,280,220,280,190,260,270,190,Joe,7500,323,4,0,250,241,250,319,30,20,1915,Joe
Julie,-,-,-,-,-,-,-,-,-,-,150,280,250,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Julie,680,N/A,0,0,227,N/A,250,286,3,43,170,Julie
Cliff,-,-,-,-,-,-,-,-,-,-,200,210,230,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Cliff,640,N/A,0,0,213,N/A,210,282,3,57,160,Cliff
Anna,,,,,,,,,,,,,,,,,,,,,220,280,150,240,200,190,220,170,280,260,Anna,2210,265,0,0,221,N/A,223,N/A,10,49,553,Anna
Wells,,,,,,,,,,,,,,,,,,,,,250,170,200,260,220,260,-,-,-,-,Wells,1360,248,0,0,227,N/A,233,N/A,6,43,340,Wells
Eoban,-,-,-,-,-,-,-,-,-,-,220,270,250,250,230,350,210,250,250,230,-,-,-,-,-,-,-,-,-,-,Eoban,2510,280,1,0,251,252,244,292,10,19,638,Eoban
Isabel,,,,,,,,,,,,,,,,,,,,,350,240,210,170,250,200,370,190,220,270,Isabel,2470,310,2,0,247,N/A,241,N/A,10,23,638,Isabel
Zon,,,,,,,,,,,,,,,,,,,,,250,-,-,-,-,-,-,-,-,-,Zon,250,N/A,0,0,250,252,250,N/A,1,20,63,Zon
Amanda,-,-,-,-,-,-,-,-,-,-,170,200,190,260,200,210,210,170,140,190,-,-,-,-,-,-,-,-,-,-,Amanda,1940,220,0,0,194,195,193,211,10,76,485,Amanda D.
